2025-08-16 17:46:17 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:17 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:18 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:18 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:18 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:19 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:19 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:19 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:19 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:19 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:20 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:20 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:21 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:21 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:21 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:21 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:22 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:22 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:22 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:22 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:23 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:23 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:23 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:23 | IP: 2a01:4f8:1c1b:66c9::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:24 | IP: 116.203.25.216 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:46:51 | IP: 2a01:4f8:1c1c:7c3b::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 17:47:06 | IP: 2a01:4f8:c17:9dc4::1 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 18:43:17 | IP: 194.233.94.245 | País: SG | Motivo: Acesso fora do Brasil
2025-08-16 18:47:13 | IP: 17.241.227.105 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 18:47:13 | IP: 17.241.227.105 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 18:52:33 | IP: 199.244.88.218 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 18:52:42 | IP: 199.244.88.218 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 18:54:59 | IP: 34.79.154.21 | País: BE | Motivo: Acesso fora do Brasil
2025-08-16 21:47:37 | IP: 52.167.144.65 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 21:47:47 | IP: 40.77.167.11 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 21:57:18 | IP: 170.106.113.159 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 23:28:13 | IP: 120.219.76.85 | País: CN | Motivo: Acesso fora do Brasil
2025-08-16 23:44:06 | IP: 216.73.216.171 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 23:44:07 | IP: 216.73.216.171 | País: US | Motivo: Acesso fora do Brasil
2025-08-17 00:43:59 | IP: 51.222.253.15 | País: CA | Motivo: Acesso fora do Brasil
2025-08-17 02:20:48 | IP: 66.249.66.161 | País: US | Motivo: Acesso fora do Brasil
2025-08-17 02:20:48 | IP: 66.249.66.163 | País: US | Motivo: Acesso fora do Brasil
